half-seas-over.s.01,British informal for `intoxicated'
pizza.n.01,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
poi.n.01,Hawaiian dish of taro root pounded to a paste and often allowed to ferment
bitter.n.01,English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
sake.n.02,Japanese alcoholic beverage made from fermented rice; usually served hot
moselle.n.01,German white wine from the Moselle valley or a similar wine made elsewhere
retsina.n.01,Greek wine flavored with resin
tokay.n.01,Hungarian wine made from Tokay grapes
aquavit.n.01,Scandinavian liquor usually flavored with caraway seeds
grappa.n.01,Italian brandy made from residue of grapes after pressing
tequila.n.01,Mexican liquor made from fermented juices of an agave plant
dom_pedro.n.01,South African mixed drink made by mixing ice cream with whisky
mate.n.09,South American tea-like drink made from leaves of a South American holly called mate
coca_cola.n.01,Coca Cola is a trademarked cola
pepsi.n.01,Pepsi Cola is a trademarked cola
glogg.n.01,Scandinavian punch made of claret and aquavit with spices and raisins and orange peel and sugar
oolong.n.01,Chinese tea leaves that have been partially fermented before being dried
islamic_army_of_aden.n.01,Yemen-based terrorist group that supports al-Qaeda's goals; seeks to overthrow the Yemeni government and eliminate United States interests; responsible for bombings and kidnappings and killing western tourists in Yemen
old_catholic_church.n.01,Catholic churches that broke away from the Roman Catholic Church in the 18th century
episcopal_church.n.02,United States church that is in communication with the see of Canterbury
christian_science.n.01,Protestant denomination founded by Mary Baker Eddy in 1866
jehovah's_witnesses.n.01,Protestant denomination founded in the United States by Charles Taze Russell in 1884
judaism.n.01,Jews collectively who practice a religion based on the Torah and the Talmud
