half-seas-over.s.01,British informal for `intoxicated'
strasberg.n.01,United States actor and film director (born in Austria) who was a leader in developing method acting in the United States (1901-1982)
strauss.n.03,Austrian composer of waltzes (1804-1849)
strauss.n.02,Austrian composer and son of Strauss the Elder; composed many famous waltzes and became known as the `waltz king' (1825-1899)
strauss.n.01,German composer of many operas; collaborated with librettist Hugo von Hoffmannsthal to produce several operas (1864-1949)
streep.n.01,United States film actress (born in 1949)
streisand.n.01,United States singer and actress (born in 1942)
strickland.n.01,United States architect and student of Latrobe (1787-1854)
strindberg.n.01,Swedish dramatist and novelist (1849-1912)
stroheim.n.01,United States film actor (born in Austria) (1885-1957)
stuart.n.01,United States painter best known for his portraits of George Washington (1755-1828)
stubbs.n.01,English historian noted for his constitutional history of medieval England (1825-1901)
styron.n.01,United States writer best known for his novels (born in 1925)
suckling.n.01,English poet and courtier (1609-1642)
sue.n.01,French writer whose novels described the sordid side of city life (1804-1857)
suharto.n.01,Indonesian statesman who seized power from Sukarno in 1967 (born in 1921)
sukarno.n.01,Indonesian statesman who obtained the independence of Indonesia from the Netherlands in 1949 and served as president until ousted by Suharto in a coup d'etat (1901-1970)
sulla.n.02,Roman general and dictator (138-78 BC)
sullivan.n.05,English composer of operettas who collaborated with the librettist William Gilbert (1842-1900)
sullivan.n.04,United States educator who was the teacher and lifelong companion of Helen Keller (1866-1936)
sullivan.n.03,United States host on a well known television variety show (1902-1974)
sullivan.n.02,United States psychiatrist (1892-1949)
sullivan.n.01,United States architect known for his steel framed skyscrapers and for coining the phrase `form follows function' (1856-1924)
sully.n.02,French statesman (1560-1641)
sully.n.01,United States painter (born in England) of portraits and historical scenes (1783-1872)
sumner.n.01,United States sociologist (1840-1910)
sunday.n.02,United States evangelist (1862-1935)
sun_yat-sen.n.01,Chinese statesman who organized the Kuomintang and led the revolution that overthrew the Manchu dynasty in 1911 and 1912 (1866-1925)
sutherland.n.01,Australian operatic soprano (born in 1926)
sverdrup.n.01,Norwegian explorer who led expeditions into the Arctic (1855-1930)
swammerdam.n.01,Dutch naturalist and microscopist who proposed a classification of insects and who was among the first to recognize cells in animals and was the first to see red blood cells (1637-1680)
swanson.n.01,United States actress in many silent films (1899-1983)
swedenborg.n.01,Swedish theologian (1688-1772)
sweet.n.01,English phonetician; one of the founders of modern phonetics (1845-1912)
swift.n.01,United States meat-packer who began the use of refrigerated railroad cars (1839-1903)
swinburne.n.01,English poet (1837-1909)
sydenham.n.01,English physician (1624-1689)
sylvester_ii.n.01,French pope from 999 to 1003 who was noted for his great learning (945-1003)
symonds.n.01,English writer (1840-1893)
symons.n.01,English poet (1865-1945)
synge.n.01,Irish poet and playwright whose plays are based on rural Irish life (1871-1909)
szell.n.01,United States conductor (born in Hungary) (1897-1970)
szent-gyorgyi.n.01,United States biochemist (born in Hungary) who was the first to isolate vitamin C (1893-1986)
szilard.n.01,United States physicist and molecular biologist who helped develop the first atom bomb and later opposed the use of all nuclear weapons (1898-1964)
tacitus.n.01,Roman historian who wrote major works on the history of the Roman Empire (56-120)
taft.n.01,United States sculptor (1860-1936)
tagore.n.01,Indian writer and philosopher whose poetry (based on traditional Hindu themes) pioneered the use of colloquial Bengali (1861-1941)
talbot.n.01,English inventor and pioneer in photography who published the first book illustrated with photographs (1800-1877)
tallchief.n.01,United States ballerina who promoted American ballet through tours and television appearances (born in 1925)
talleyrand.n.01,French statesman (1754-1838)
tallis.n.01,English organist and composer of church and secular music; was granted a monopoly in music printing with William Byrd (1505-1585)
tamerlane.n.01,Mongolian ruler of Samarkand who led his nomadic hordes to conquer an area from Turkey to Mongolia (1336-1405)
tamm.n.01,Russian physicist (1895-1971)
tancred.n.01,Norman leader in the First Crusade who played an important role in the capture of Jerusalem (1078-1112)
tandy.n.01,"United States actress (born in England) who made many stage appearances, often with her husband Hume Cronyn (1909-1994)"
taney.n.01,United States jurist who served as chief justice of the United States Supreme Court; remembered for his ruling that slaves and their descendants have no rights as citizens (1777-1864)
tange.n.01,Japanese architect (born in 1913)
tanguy.n.01,United States surrealist painter (born in France) (1900-1955)
tappan.n.01,United States abolitionist (1786-1865)
tarantino.n.01,United States filmmaker (born in 1963)
tarbell.n.01,United States writer remembered for her muckraking investigations into industries in the early 20th century (1857-1944)
tarkovsky.n.01,Russian filmmaker (1932-1986)
tasman.n.01,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
tasso.n.01,Italian poet who wrote an epic poem about the capture of Jerusalem during the First Crusade (1544-1595)
tate.n.01,United States poet and critic (1899-1979)
tati.n.01,French filmmaker (1908-1982)
tatum.n.02,United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)
tatum.n.01,United States biochemist who discovered how genes act by regulating definite chemical events (1909-1975)
tawney.n.01,English economist remembered for his studies of the development of capitalism (1880-1962)
taylor.n.02,United States film actress (born in England) who was a childhood star; as an adult she often co-starred with Richard Burton (born in 1932)
taylor.n.01,United States composer and music critic (1885-1966)
teasdale.n.01,United States poet (1884-1933)
tebaldi.n.01,Italian operatic soprano (born in 1922)
teilhard_de_chardin.n.01,French paleontologist and philosopher (1881-1955)
te_kanawa.n.01,New Zealand operatic soprano (born in 1944)
telemann.n.01,German baroque composer (1681-1767)
teller.n.01,United States physicist (born in Hungary) who worked on the first atom bomb and the first hydrogen bomb (1908-2003)
tenniel.n.01,English cartoonist (1820-1914)
tennyson.n.01,Englishman and Victorian poet (1809-1892)
tenzing_norgay.n.01,Sherpa mountaineer guide who with Sir Edmund Hillary was one of the first to attain the summit of Mount Everest (1914-1986)
teresa.n.01,Indian nun and missionary in the Roman Catholic Church (born of Albanian parents in what is now Macedonia); dedicated to helping the poor in India (1910-1997)
teresa_of_avila.n.01,Spanish mystic and religious reformer; author of religious classics and a Christian saint (1515-1582)
tereshkova.n.01,Soviet cosmonaut who was the first woman in space (born in 1937)
terry.n.01,English actress (1847-1928)
tertullian.n.01,Carthaginian theologian whose writing influenced early Christian theology (160-230)
tesla.n.02,United States electrical engineer and inventor (born in Croatia but of Serbian descent) who discovered the principles of alternating currents and developed the first alternating-current induction motor and the Tesla coil and several forms of oscillators (1856-1943)
thackeray.n.01,English writer (born in India) (1811-1863)
thatcher.n.01,British stateswoman; first woman to serve as Prime Minister (born in 1925)
themistocles.n.01,Athenian statesman who persuaded Athens to build a navy and then led it to victory over the Persians (527-460 BC)
theophrastus.n.01,Greek philosopher who was a student of Aristotle and who succeeded Aristotle as the leader of the Peripatetics (371-287 BC)
thespis.n.01,Greek poet who is said to have originated Greek tragedy (sixth century BC)
thomas.n.04,Welsh poet (1914-1953)
thomas.n.02,United States socialist who was a candidate for president six times (1884-1968)
thomas.n.01,United States clockmaker who introduced mass production (1785-1859)
thompson.n.02,English physicist (born in America) who studied heat and friction; experiments convinced him that heat is caused by moving particles (1753-1814)
thompson.n.01,United States classical archaeologist (born in Canada) noted for leading the excavation of the Athenian agora (1906-2000)
thomson.n.04,English physicist who experimented with the conduction of electricity through gases and who discovered the electron and determined its charge and mass (1856-1940)
thomson.n.03,English physicist (son of Joseph John Thomson) who was a co-discoverer of the diffraction of electrons by crystals (1892-1975)
thomson.n.02,United States electrical engineer (born in England) who in 1892 formed a company with Thomas Edison (1853-1937)
thomson.n.01,United States composer who collaborated with Gertrude Stein (1896-1989)
thoreau.n.01,United States writer and social critic (1817-1862)
thorndike.n.02,United States educational psychologist (1874-1949)
thorndike.n.01,English actress (1882-1976)
thornton.n.01,American architect (1759-1828)
thurber.n.01,United States humorist and cartoonist who published collections of essays and stories (1894-1961)
tiepolo.n.01,Italian painter (1696-1770)
tiffany.n.01,United States artist who developed Tiffany glass (1848-1933)
tilden.n.01,United States tennis player who dominated men's tennis in the 1920s (1893-1953)
tillich.n.01,United States theologian (born in Germany) (1886-1965)
tinbergen.n.02,Dutch economist noted for his work in econometrics (1903-1994)
tinbergen.n.01,Dutch zoologist who showed that much animal behavior is innate and stereotyped (1907-1988)
tintoretto.n.01,Italian painter of the Venetian school (1518-1594)
tirso_de_molina.n.01,Spanish dramatist who wrote the first dramatic treatment of the legend of Don Juan (1571-1648)
tito.n.01,Yugoslav statesman who led the resistance to German occupation during World War II and established a communist state after the war (1892-1980)
titus.n.02,Emperor of Rome; son of Vespasian (39-81)
tobey.n.01,United States abstract painter influenced by oriental calligraphy (1890-1976)
tobin.n.01,United States economist (1918-2002)
tocqueville.n.01,French political writer noted for his analysis of American institutions (1805-1859)
todd.n.01,Scottish chemist noted for his research into the structure of nucleic acids (born in 1907)
tojo.n.01,Japanese army officer who initiated the Japanese attack on Pearl Harbor and who assumed dictatorial control of Japan during World War II; he was subsequently tried and executed as a war criminal (1884-1948)
toklas.n.01,United States writer remembered as the secretary and companion of Gertrude Stein (1877-1967)
tolkien.n.01,British philologist and writer of fantasies (born in South Africa) (1892-1973)
tolstoy.n.01,Russian author remembered for two great novels (1828-1910)
tombaugh.n.01,United States astronomer who discovered the planet Pluto (1906-1997)
tonegawa_susumu.n.01,Japanese molecular biologist noted for his studies of how the immune system produces antibodies (born in 1939)
torricelli.n.01,Italian physicist who invented the mercury barometer (1608-1647)
toscanini.n.01,Italian conductor of many orchestras worldwide (1867-1957)
toulouse-lautrec.n.01,French painter who portrayed life in the cafes and music halls of Montmartre (1864-1901)
tourette.n.01,French neurologist (1857-1904)
town.n.04,United States architect who was noted for his design and construction of truss bridges (1784-1844)
townes.n.01,United States physicist who developed the laser and maser principles for producing high-intensity radiation (1915-)
townsend.n.01,United States social reformer who proposed an old-age pension sponsored by the federal government; his plan was a precursor to Social Security (1867-1960)
toynbee.n.01,English historian who studied the rise and fall of civilizations looking for cyclical patterns (1889-1975)
tracy.n.01,United States film actor who appeared in many films with Katharine Hepburn (1900-1967)
tradescant.n.01,English botanist who was one of the first to collect specimens of plants (1570-1638)
trajan.n.01,Roman Emperor and adoptive son of Nerva; extended the Roman Empire to the east and conducted an extensive program of building (53-117)
traubel.n.01,United States operatic soprano (1903-1972)
tree.n.03,English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)
trevelyan.n.02,English historian who wrote a history of the American revolution and a biography of his uncle Lord Macaulay (1838-1928)
trevelyan.n.01,English historian and son of Sir George Otto Trevelyan whose works include a social history of England and a biography of Garibaldi (1876-1962)
trevino.n.01,United States golfer (born in 1939)
trevithick.n.01,English engineer who built the first railway locomotive (1771-1833)
trilling.n.01,United States literary critic (1905-1975)
trollope.n.01,English writer of novels (1815-1882)
trotsky.n.01,Russian revolutionary and Communist theorist who helped Lenin and built up the army; he was ousted from the Communist Party by Stalin and eventually assassinated in Mexico (1879-1940)
truffaut.n.01,French filmmaker (1932-1984)
trumbo.n.01,United States screenwriter who was blacklisted and imprisoned for refusing to cooperate with congressional investigations of communism in America (1905-1976)
trumbull.n.03,American satirical poet (1750-1831)
trumbull.n.02,American painter of historical scenes (1756-1843)
trumbull.n.01,American Revolutionary leader who as governor of Connecticut provided supplies for the Continental Army (1710-1785)
truth.n.05,United States abolitionist and feminist who was freed from slavery and became a leading advocate of the abolition of slavery and for the rights of women (1797-1883)
tubman.n.01,United States abolitionist born a slave on a plantation in Maryland and became a famous conductor on the Underground Railroad leading other slaves to freedom in the North (1820-1913)
tuchman.n.01,United States historian (1912-1989)
tucker.n.02,United States vaudevillian (born in Russia) noted for her flamboyant performances (1884-1966)
tucker.n.01,United States anarchist influential before World War I (1854-1939)
tudor.n.02,United States dancer and choreographer (born in England) (1909-1987)
tunney.n.01,United States prizefighter who won the world heavyweight championship by defeating Jack Dempsey twice (1898-1978)
turgenev.n.01,Russian writer of stories and novels and plays (1818-1883)
turgot.n.01,French economist who in 1774 was put in control of finances by Louis XVI; his proposals for reforms that involved abolishing feudal privileges made him unpopular with the aristocracy and in 1776 he was dismissed (1727-1781)
turing.n.01,English mathematician who conceived of the Turing machine and broke German codes during World War II (1912-1954)
turner.n.04,United States historian who stressed the role of the western frontier in American history (1861-1951)
turner.n.03,English landscape painter whose treatment of light and color influenced the French impressionists (1775-1851)
turner.n.02,United States endocrinologist (1892-1970)
turner.n.01,United States slave and insurrectionist who in 1831 led a rebellion of slaves in Virginia; he was captured and executed (1800-1831)
turpin.n.01,English highwayman (1706-1739)
tussaud.n.01,French modeler (resident in England after 1802) who made wax death masks of prominent victims of the French Revolution and toured Britain with her wax models; in 1835 she opened a permanent waxworks exhibition in London (1761-1850)
tutankhamen.n.01,Pharaoh of Egypt around 1358 BC; his tomb was discovered almost intact by Howard Carter in 1922
tutu.n.01,South African prelate and leader of the antiapartheid struggle (born in 1931)
tyndale.n.01,English translator and Protestant martyr; his translation of the Bible into English (which later formed the basis for the King James Version) aroused ecclesiastical opposition; he left England in 1524 and was burned at the stake in Antwerp as a heretic (1494-1536)
tyndall.n.01,British physicist (born in Ireland) remembered for his experiments on the transparency of gases and the absorption of radiant heat by gases and the transmission of sound through the atmosphere; he was the first person to explain why the daylight sky is blue (1820-1893)
tyson.n.01,United States prizefighter who was world heavyweight champion (born in 1966)
tzara.n.01,French poet (born in Romania) who was one of the cofounders of the dada movement (1896-1963)
uhland.n.01,German romantic poet (1787-1862)
ulanova.n.01,Russian ballet dancer (1910-1998)
undset.n.01,Norwegian novelist (1882-1949)
untermeyer.n.01,United States writer (1885-1977)
updike.n.01,United States author (born 1932)
upjohn.n.01,United States architect (born in England) (1802-1878)
urban_ii.n.01,French pope from 1088 to 1099 whose sermons called for the First Crusade (1042-1099)
urban_v.n.01,French pope from 1362 to 1370 who tried to reestablish the papacy in Rome but in 1367 returned to Avignon hoping to end the war between France and England; canonized in 1870 (1310-1370)
urban_vi.n.01,Italian pope from 1378 to 1389 whose contested election began the Great Schism; he alienated his political allies by his ruthless treatment of his opponents (1318-1389)
urban_viii.n.01,Italian pope from 1623 to 1644 who sanctioned the condemnation of Galileo but later freed him (1568-1644)
urey.n.01,United States chemist who discovered deuterium (1893-1981)
ussher.n.01,Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656)
ustinov.n.01,British actor and playwright (1921-2004)
utrillo.n.01,French painter noted for his paintings of Parisian street scenes (1883-1955)
van_allen.n.01,United States physicist who discovered two belts of charged particles from the solar wind trapped by the Earth's magnetic field (born in 1914)
vanbrugh.n.01,English architect (1664-1726)
vancouver.n.01,English navigator remembered for his exploration of the Pacific coast of North America (1757-1798)
van_de_graaff.n.01,United States physicist (1901-1967)
vanderbilt.n.01,United States financier who accumulated great wealth from railroad and shipping businesses (1794-1877)
van_der_waals.n.01,Dutch physicist (1837-1923)
van_de_velde.n.01,Belgian architect (1863-1957)
van_doren.n.01,United States writer and literary critic (1885-1950)
vandyke.n.01,Flemish painter of numerous portraits (1599-1641)
van_gogh.n.01,Dutch Post-impressionist painter noted for his use of color (1853-1890)
van_vleck.n.01,United States physicist (1899-1980)
vanzetti.n.01,United States anarchist (born in Italy) who with Nicola Sacco was convicted of murder and in spite of world-wide protest was executed (1888-1927)
varese.n.01,United States composer (born in France) whose music combines dissonance with complex rhythms and the use of electronic techniques (1883-1965)
vargas.n.01,Brazilian statesman who ruled Brazil as a virtual dictator (1883-1954)
vargas_llosa.n.01,Peruvian writer (born in 1936)
varro.n.01,Roman scholar (116-27 BC)
vasarely.n.01,French painter (born in Hungary) who was a pioneer of op art (1908-1997)
vasari.n.01,Italian painter and art historian (1511-1574)
vaughan.n.01,United States jazz singer noted for her complex bebop phrasing and scat singing (1924-1990)
vaughan_williams.n.01,English composer influenced by folk tunes and music of the Tudor period (1872-1958)
vaux.n.01,United States landscape architect (born in England) who designed Central Park (1824-1895)
veblen.n.02,United States mathematician (1880-1960)
veblen.n.01,United States economist who wrote about conspicuous consumption (1857-1929)
velazquez.n.01,Spanish painter (1599-1660)
venn.n.01,English logician who introduced Venn diagrams (1834-1923)
ventner.n.01,"United States geneticist who published the complete base sequences for all the genes of a free-living organism, the influenza bacterium; later led team that developed a first draft of the entire human genome (born in 1946)"
venturi.n.01,United States architect (born in 1925)
verdi.n.01,Italian operatic composer (1813-1901)
verlaine.n.01,French symbolist poet (1844-1896)
vermeer.n.01,Dutch painter renowned for his use of light (1632-1675)
verne.n.01,French writer who is considered the father of science fiction (1828-1905)
verner.n.01,Danish philologist (1846-1896)
vernier.n.01,French mathematician who described the vernier scale (1580-1637)
veronese.n.01,Italian painter of the Venetian school (1528-1588)
verrazano.n.01,Florentine navigator who explored the eastern coast of North America (circa 1485-1528)
versace.n.01,Italian fashion designer (1946-1997)
verwoerd.n.01,South African statesman who instituted the policy of apartheid (1901-1966)
vesey.n.01,United States freed slave and insurrectionist in South Carolina who was involved in planning an uprising of slaves and was hanged (1767-1822)
vespasian.n.01,Emperor of Rome and founder of the Flavian dynasty who consolidated Roman rule in Germany and Britain and reformed the army and brought prosperity to the empire; began the construction of the Colosseum (9-79)
vespucci.n.01,Florentine navigator who explored the coast of South America; America was named in his honor (1454-1512)
vestris.n.01,Italian dancing-master for Louis XVI who was considered the greatest dancer of his day; he was the first to discard the mask in mime (1729-1808)
vidal.n.01,United States writer (born in 1925)
vigee-lebrun.n.01,French painter noted for her portraits (1755-1842)
villa.n.01,Mexican revolutionary leader (1877-1923)
villa-lobos.n.01,Brazilian composer (1887-1959)
villard.n.01,United States railroad magnate and businessman (1835-1900)
villon.n.01,French poet (flourished around 1460)
vinogradoff.n.01,British historian (born in Russia) (1854-1925)
vinson.n.01,United States jurist who served as chief justice of the Supreme Court (1890-1953)
virchow.n.01,German pathologist who recognized that all cells come from cells by binary fission and who emphasized cellular abnormalities in disease (1821-1902)
visconti.n.01,Italian filmmaker (1906-1976)
vitus.n.01,Christian martyr and patron of those who suffer from epilepsy and Sydenham's chorea (died around 300)
vivaldi.n.01,Italian baroque composer and violinist (1675-1741)
vizcaino.n.01,Spanish explorer who was the first European to explore the California coast (1550-1615)
vlaminck.n.01,French painter and exponent of fauvism (1876-1958)
volta.n.01,Italian physicist after whom the volt is named; studied electric currents and invented the voltaic pile (1745-1827)
voltaire.n.01,French writer who was the embodiment of 18th century Enlightenment (1694-1778)
vonnegut.n.01,United States writer whose novels and short stories are a mixture of realism and satire and science fiction (born in 1922)
von_neumann.n.01,United States mathematician who contributed to the development of atom bombs and of stored-program digital computers (1903-1957)
von_sternberg.n.01,United States film maker (born in Austria) whose films made Marlene Dietrich an international star (1894-1969)
voznesenski.n.01,Russian poet (born in 1933)
vuillard.n.01,French painter (1868-1940)
wade.n.01,English tennis player who won many women's singles titles (born in 1945)
wagner.n.02,German composer of operas and inventor of the musical drama in which drama and spectacle and music are fused (1813-1883)
wagner.n.01,Austrian architect and pioneer of modern architecture (1841-1918)
wain.n.01,English writer (1925-1994)
waite.n.01,United States jurist who was appointed chief justice of the United States Supreme Court in 1874 by President Grant (1816-1888)
wajda.n.01,Polish filmmaker (born in 1929)
waldheim.n.01,Austrian diplomat who was Secretary General of the United Nations from 1972 to 1981; in 1986 he was elected president of Austria in spite of worldwide allegations that he had direct knowledge of Nazi atrocities during World War II (born in 1918)
walesa.n.01,Polish labor leader and statesman (born in 1943)
walker.n.02,United States writer (born in 1944)
walker.n.01,New Zealand runner who in 1975 became the first person to run a mile in less that 3 minutes and 50 seconds (born in 1952)
wallace.n.03,English naturalist who formulated a concept of evolution that resembled Charles Darwin's (1823-1913)
wallace.n.02,English writer noted for his crime novels (1875-1932)
wallace.n.01,Scottish insurgent who led the resistance to Edward I; in 1297 he gained control of Scotland briefly until Edward invaded Scotland again and defeated Wallace and subsequently executed him (1270-1305)
wallenstein.n.01,Austrian general who fought for the Hapsburgs during the Thirty Years' War (1583-1634)
waller.n.01,United States jazz musician (1904-1943)
walpole.n.02,Englishman and Whig statesman who (under George I) was effectively the first British prime minister (1676-1745)
walpole.n.01,English writer and historian; son of Sir Robert Walpole (1717-1797)
walter.n.01,German conductor (1876-1962)
walton.n.03,Irish physicist who (with Sir John Cockcroft in 1931) first split an atom (1903-1995)
walton.n.02,English writer remember for his treatise on fishing (1593-1683)
walton.n.01,English composer (1902-1983)
wanamaker.n.01,United States businessman whose business grew into one of the first department stores (1838-1922)
warburg.n.02,German art historian (1866-1929)
warburg.n.01,German biochemist who pioneered the use of chemical techniques in biological investigations; noted for studies of cellular respiration (1883-1970)
ward.n.06,United States businessman who in 1872 established a successful mail-order business (1843-1913)
ward.n.05,English writer of novels who was an active opponent of the women's suffrage movement (1851-1920)
ward.n.04,English economist and conservationist (1914-1981)
warhol.n.01,United States artist who was a leader of the Pop Art movement (1930-1987)
warner.n.01,United States filmmaker who with his brothers founded the movie studio that produced the first talking picture (1881-1958)
warren.n.02,United States jurist who served as chief justice of the United States Supreme Court (1891-1974)
warren.n.01,United States writer and poet (1905-1989)
warwick.n.01,English statesman; during the War of the Roses he fought first for the house of York and secured the throne for Edward IV and then changed sides to fight for the house of Lancaster and secured the throne for Henry VI (1428-1471)
washington.n.05,United States educator who was born a slave but became educated and founded a college at Tuskegee in Alabama (1856-1915)
wassermann.n.01,German bacteriologist who developed a diagnostic test for syphilis (1866-1925)
waters.n.01,United States actress and singer (1896-1977)
watson.n.03,United States geneticist who (with Crick in 1953) helped discover the helical structure of DNA (born in 1928)
watson.n.02,United States psychologist considered the founder of behavioristic psychology (1878-1958)
watson.n.01,United States telephone engineer who assisted Alexander Graham Bell in his experiments (1854-1934)
watt.n.02,Scottish engineer and inventor whose improvements in the steam engine led to its wide use in industry (1736-1819)
watteau.n.01,French painter (1684-1721)
watts.n.01,English poet and theologian (1674-1748)
waugh.n.01,English author of satirical novels (1903-1966)
wavell.n.01,British field marshal in North Africa in World War II; he defeated the Italians before being defeated by the Germans (1883-1950)
wayne.n.02,American general during the American Revolution (1745-1796)
wayne.n.01,United States film actor who played tough heroes (1907-1979)
webb.n.02,English sociologist and economist and a central member of the Fabian Society (1859-1947)
webb.n.01,English writer and a central member of the Fabian Society (1858-1943)
weber.n.06,German physiologist who studied sensory responses to stimuli and is considered the father of psychophysics (1795-1878)
weber.n.05,German conductor and composer of romantic operas (1786-1826)
weber.n.04,German sociologist and pioneer of the analytic method in sociology (1864-1920)
weber.n.03,United States abstract painter (born in Russia) (1881-1961)
weber.n.02,German physicist and brother of E. H. Weber; noted for his studies of terrestrial magnetism (1804-1891)
webster.n.03,United States lexicographer (1758-1843)
webster.n.02,United States politician and orator (1782-1817)
webster.n.01,English playwright (1580-1625)
wedgwood.n.01,English potter (1730-1795)
wegener.n.01,German geophysicist who proposed the theory of continental drift (1880-1930)
weil.n.02,United States mathematician (born in France) (1906-1998)
weil.n.01,French philosopher (1909-1943)
weill.n.01,German composer; collaborated with Bertolt Brecht (1900-1950)
weinberg.n.01,United States theoretical physicist (born in 1933)
weismann.n.01,German biologist who was one of the founders of modern genetics; his theory of genetic transmission ruled out the possibility of transmitting acquired characteristics (1834-1914)
weizmann.n.01,Israeli statesman who persuaded the United States to recognize the new state of Israel and became its first president (1874-1952)
weld.n.02,United States abolitionist (1803-1895)
welles.n.01,United States actor and filmmaker (1915-1985)
wellington.n.01,British general and statesman; he defeated Napoleon at Waterloo; subsequently served as Prime Minister (1769-1852)
welty.n.01,United States writer about rural southern life (1909-2001)
werfel.n.01,United States writer (1890-1945)
wernicke.n.01,German neurologist best known for his studies of aphasia (1848-1905)
wesley.n.02,English clergyman and founder of Methodism (1703-1791)
wesley.n.01,English clergyman and brother of John Wesley who wrote many hymns (1707-1788)
west.n.07,English painter (born in America) who became the second president of the Royal Academy (1738-1820)
west.n.06,United States film actress (1892-1980)
west.n.05,British writer (born in Ireland) (1892-1983)
westinghouse.n.01,United States inventor and manufacturer (1846-1914)
weston.n.01,United States photographer(1886-1958)
wharton.n.01,United States novelist (1862-1937)
wheatley.n.01,American poet (born in Africa) who was the first recognized Black writer in America (1753-1784)
wheatstone.n.01,English physicist and inventor who devised the Wheatstone bridge (1802-1875)
wheeler.n.01,Scottish archaeologist (1890-1976)
whistler.n.01,United States painter (1834-1903)
white.n.08,United States educator who in 1865 (with Ezra Cornell) founded Cornell University and served as its first president (1832-1918)
white.n.07,United States writer noted for his humorous essays (1899-1985)
white.n.06,United States architect (1853-1906)
white.n.05,United States political journalist (1915-1986)
white.n.04,Australian writer (1912-1990)
white.n.03,United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)
whitehead.n.01,English philosopher and mathematician who collaborated with Bertrand Russell (1861-1947)
whitman.n.02,United States frontier missionary who established a post in Oregon where Christianity and schooling and medicine were available to Native Americans (1802-1847)
whitman.n.01,United States poet who celebrated the greatness of America (1819-1892)
whitney.n.01,United States inventor of the mechanical cotton gin (1765-1825)
whittier.n.01,United States poet best known for his nostalgic poems about New England (1807-1892)
whittle.n.01,English aeronautical engineer who invented the jet aircraft engine (1907-1996)
wiener.n.01,United States mathematician and founder of cybernetics (1894-1964)
wiesel.n.01,United States writer (born in Romania) who survived Nazi concentration camps and is dedicated to keeping alive the memory of the Holocaust (born in 1928)
wiesenthal.n.01,Austrian investigator of Nazi war crimes (born in 1908)
wigner.n.01,United States physicist (born in Hungary) noted for his work on the structure of the atom and its nucleus (1902-1995)
wilde.n.01,Irish writer and wit (1854-1900)
wilder.n.02,United States filmmaker (born in Austria) whose dark humor infused many of the films he made (1906-2002)
wilder.n.01,United States writer and dramatist (1897-1975)
wilkes.n.02,United States explorer of Antarctica (1798-1877)
wilkes.n.01,English reformer who published attacks on George III and supported the rights of the American colonists (1727-1797)
wilkins.n.03,English biochemist who helped discover the structure of DNA (1916-2004)
wilkins.n.02,Australian who was the first to explore the Arctic by airplane (1888-1958)
wilkins.n.01,United States civil rights leader (1901-1981)
wilkinson.n.01,English chemist honored for his research on pollutants in car exhausts (born in 1921)
willard.n.02,United States educator who was an early campaigner for higher education for women (1787-1870)
willard.n.01,United States advocate of temperance and women's suffrage (1839-1898)
willebrand.n.01,Finnish physician who first described vascular hemophilia (1870-1949)
william_iii.n.01,"King of England and Scotland and Ireland; he married the daughter of James II and was invited by opponents of James II to invade England; when James fled, William III and Mary II were declared joint monarchs (1650-1702)"
william_iv.n.01,King of England and Ireland; son of George III who ascended the throne after a long naval career (1765-1837)
williams.n.06,United States playwright (1911-1983)
williams.n.05,English clergyman and colonist who was expelled from Massachusetts for criticizing Puritanism; he founded Providence in 1636 and obtained a royal charter for Rhode Island in 1663 (1603-1683)
williams.n.04,United States baseball player noted as a hitter (1918-2002)
williams.n.03,United States poet (1883-1963)
williams.n.02,English philosopher credited with reviving the field of moral philosophy (1929-2003)
williams.n.01,United States country singer and songwriter (1923-1953)
willis.n.01,English physician who was a pioneer in the study of the brain (1621-1675)
wilmut.n.01,English geneticist who succeeded in cloning a sheep from a cell from an adult ewe (born in 1944)
wilson.n.09,United States literary critic (1895-1972)
wilson.n.08,Scottish physicist who invented the cloud chamber (1869-1959)
wilson.n.07,United States entomologist who has generalized from social insects to other animals including humans (born in 1929)
wilson.n.06,American Revolutionary leader who was one of the signers of the Declaration of Independence (1742-1798)
wilson.n.05,Canadian geophysicist who was a pioneer in the study of plate tectonics (1908-1993)
wilson.n.04,United States physicist honored for his work on cosmic microwave radiation (born in 1918)
wilson.n.03,Scottish ornithologist in the United States (1766-1813)
wilson.n.02,English writer of novels and short stories (1913-1991)
winckelmann.n.01,German archaeologist and art historian said to be the father of archaeology (1717-1768)
windaus.n.01,German chemist who studied steroids and cholesterol and discovered histamine (1876-1959)
winslow.n.01,English colonial administrator who traveled to America on the Mayflower and served as the first governor of the Plymouth Colony (1595-1655)
wise.n.03,United States religious leader (born in Bohemia) who united reform Jewish organizations in the United States (1819-1900)
wise.n.02,United States Jewish leader (born in Hungary) (1874-1949)
wister.n.01,United States writer (1860-1938)
witherspoon.n.01,American Revolutionary leader and educator (born in Scotland) who signed of the Declaration of Independence and was president of the college that became Princeton University (1723-1794)
